Run	Pol(1+,2-)	Mom	Pol=1 =+v2,2=-v2
7621	2	1.85	
7622	2	1.86	
7623	2	1.85	
7625	2	1.86	
7626	2	1.85	
7627	2	1.86	
7628	2	1.86	
7629	2	1.86	
7630	2	1.86	
7631	2	1.86	
7632	2	1.86	
7633	2	1.85	
7634	2	1.85	
7635	1	3.28	
7636	1	3.27	
7637	1	3.27	
7638	1	3.25	
7639	1	3.24	
7640	1	2.8	
7641	1	2.81	
7642	1	2.8	
7643	1	2.8	
7644	1	2.79	
7645	1	2.8	
7646	1	2.36	
7647	1	2.36	
7648	1	2.36	
7649	1	2.36	
7650	1	2.36	
7651	1	2.36	
7652	1	2.36	
7654	1	2.36	
7655	1	2.35	
7657	1	1.86	
7658	1	1.86	
7659	1	1.87	
7660	1	1.87	
7661	1	1.86	
7662	1	1.86	
7663	1	1.87	
7666	1	1.87	
7667	1	1.87	
7668	1	1.86	
7669	1	1.86	
7670	1	1.86	
7671	2	3.6	
7672	2	3.6	
7673	2	3.58	
7674	2	3.6	
7675	2	3	
7676	2	2.99	
7677	2	2.98	
7679	2	2.99	
7680	2	2.99	
7681	2	2.99	
7682	2	3	
7684	2	2.43	
7685	2	2.43	
7686	2	2.43	
7687	2	2.42	
7688	2	2.42	
7689	2	2.42	
7690	2	2.42	
7692	2	2.41	
7694	2	2.43	
7695	2	2.42	
7697	1	3.61	
7698	1	3.63	
7699	1	3.62	
7702	1	3.62	
7703	1	3.63	
7706	1	3	
7707	1	3	
7708	1	3	
7709	1	3	
7710	1	3.01	
7711	1	3.01	
7712	1	3	
7713	1	2.42	
7714	1	2.44	
7715	1	2.42	
7716	1	2.43	
7717	1	2.43	
7718	1	2.43	
7719	1	2.43	
7720	1	2.43	
7721	1	2.43	
7722	1	2.44	
7723	2	4.3	
7724	2	4.43	
7725	2	4.43	
7727	2	3.31	
7728	2	3.31	
7730	2	3.31	
7733	2	3.29	
7735	2	3.31	
7736	2	3.3	
7737	2	2.81	
7738	2	2.81	
7739	2	2.82	
7740	2	2.81	
7741	2	2.82	
7742	2	2.84	
7743	2	2.83	
7747	2	2.82	
7748	2	2.81	
7749	2	2.78	
7750	2	2.31	
7751	2	2.34	
7752	2	2.33	
7753	2	2.33	
7754	2	2.33	
7755	2	2.33	
7757	2	2.33	
7758	2	2.33	
7759	2	2.32	
7760	1	4.44	
7762	1	4.45	
7763	1	4.47	
7765	1	3.32	
7766	1	3.32	
7768	1	3.33	
7769	1	3.33	
7770	1	3.33	
7771	1	3.33	
7772	1	3.33	
7773	1	2.81	
7774	1	2.83	
7775	1	2.82	
7776	1	2.83	
7777	1	2.82	
7778	1	2.81	
7779	1	2.81	
7781	1	2.34	
7782	1	2.33	
7783	1	2.33	
7784	1	2.33	
7785	1	2.33	
7786	1	2.33	
7787	1	2.33	
7790	1	2.32	
7791	1	2.33	
7792	1	2.34	
7793	2	3.55	
7794	2	3.55	
7796	2	3.55	
7797	2	3.55	
7798	2	2.99	
7799	2	2.99	
7800	2	2.99	
7801	2	2.98	
7802	2	2.99	
7803	2	2.46	
7804	2	2.47	
7805	2	2.46	
7806	2	2.46	
7807	2	2.46	
7808	1	3.58	
7809	1	3.57	
7811	1	3.58	
7812	1	3	
7813	1	3	
7814	1	3	
7815	1	2.47	
7816	1	2.46	
7817	1	2.47	
7819	1	2.49	
7820	1	2.46	
5405	1	4.75	
5406	1	4.82	
5407	1	4.81	
5408	1	4.82	
5409	1	3.54	
5410	1	3.55	
5411	1	3.54	
5413	1	3.55	
5414	1	3.55	
5415	1	3.55	
5434	1	3.55	
5435	1	3.55	
5436	1	3.55	
5437	1	3.56	
5438	1	3.55	
5439	1	3.55	
5440	1	3.56	
5441	1	3.56	
5442	1	3.56	
5443	1	3.55	
5444	1	3.55	
5445	1	3.55	
5446	1	3.55	
5447	1	3.56	
5448	1	3.55	
5449	1	3.54	
5451	1	3.55	
5452	1	3.56	
5453	1	3.56	
5454	1	3.56	
5455	1	3.55	
5456	1	3.55	
5457	1	3.55	
5458	1	3.54	
5459	1	3.55	
5460	1	3.54	
5461	1	3.55	
5464	1	3.53	
5465	1	3.53	
5466	1	3.53	
5467	1	3.52	
5468	1	3.51	
5469	1	3.52	
5470	1	3.54	
5471	1	3.53	
5472	1	3.53	
5473	1	3.53	
5474	1	3.54	
5475	1	3.54	
5476	1	3.54	
5477	1	3.56	
5478	1	3.55	
5479	1	3.55	
5480	1	3.55	
5481	1	3.56	
5483	1	3.54	
5484	1	3.55	
5485	1	3.54	
5486	1	2.63	
5487	1	2.64	
5488	1	2.64	
5491	1	2.63	
5492	1	2.64	
5493	1	2.64	
5494	1	2.64	
5495	1	2.64	
5496	1	2.63	
5497	1	2.64	
5498	1	2.64	
5499	1	2.64	
5500	1	2.64	
5501	1	2.63	
5502	1	2.64	
5504	1	2.64	
5505	1	2.65	
5507	1	2.64	
5508	1	2.65	
5509	1	2.65	
5510	1	2.64	
5511	1	2.65	
5512	1	2.64	
5514	1	2.64	
5515	1	2.65	
5517	1	2.64	
5518	1	2.65	
5519	1	2.65	
5520	1	2.64	
5521	1	2.65	
5522	1	2.64	
5524	1	2.64	
5525	1	2.63	
5527	1	2.63	
5528	1	2.64	
5529	1	2.62	
5530	1	2.64	
5531	1	2.64	
5532	1	2.64	
5542	1	2.63	
5543	1	2.62	
5544	1	2.62	
5546	1	2.61	
5547	1	2.63	
5548	1	2.62	
5549	1	2.62	
5550	1	2.63	
5551	1	2.61	
5552	1	2.61	
5553	1	2.61	
5554	1	2.62	
5555	1	2.62	
5556	1	2.61	
5557	1	2.61	
5558	1	2.61	
5561	1	2.59	
5562	1	2.6	
5563	1	2.59	
5564	1	2.59	
5565	1	2.59	
5566	1	2.59	
5567	1	2.6	
5568	1	2.6	
5569	1	2.59	
5570	1	2.59	
5571	1	2.6	
5573	1	2.57	
5574	1	2.59	
5575	1	2.56	
5576	1	2.59	
5577	1	2.58	
5578	1	2.57	
5579	1	2.59	
5581	1	2.55	
5582	1	2.58	
5583	1	2.58	
5584	1	2.59	
5585	1	2.59	
5586	1	2.58	
5587	1	2.58	
5588	1	2.58	
5589	1	2.63	
5590	1	2.64	
5591	1	2.64	
5593	1	2.64	
5594	1	2.65	
5595	1	2.64	
5596	1	2.64	
5597	1	2.62	
5627	2	4.59	
5628	2	4.6	
5630	2	4.59	
5632	2	4.77	
5633	2	4.74	
5634	2	4.75	
5635	2	4.75	
5636	2	4.75	
5637	2	4.78	
5639	2	4.94	
5640	2	4.93	
5641	2	4.93	
5643	2	4.93	
5644	2	4.91	
5646	2	4.89	
5647	2	4.92	
5648	2	4.92	
5649	2	4.92	
5650	2	4.92	
5651	2	4.92	
5652	2	4.92	
5653	2	4.93	
5654	2	4.9	
5655	2	4.91	
5656	2	4.94	
5657	2	4.93	
5658	2	4.93	
5659	2	4.92	
5660	2	4.92	
5663	2	4.93	
5666	2	4.94	
5667	2	4.9	
5668	2	4.91	
5669	2	4.92	
5670	2	4.92	
5671	2	4.95	
5672	2	4.94	
5673	2	4.93	
5674	2	4.93	
5675	2	4.92	
5676	2	4.94	
5677	2	4.94	
5678	2	4.93	
5679	2	4.93	
5680	2	4.95	
5682	2	4.91	
5683	2	4.91	
5684	2	4.9	
5685	2	4.91	
5686	2	4.9	
5687	2	3.52	
5688	2	3.52	
5689	2	3.53	
5690	2	3.51	
5691	2	3.51	
5692	2	3.5	
5693	2	3.51	
5694	2	3.49	
5695	2	3.49	
5696	2	3.49	
5697	2	3.51	
5698	2	3.51	
5699	2	3.51	
5700	2	3.55	
5701	2	3.51	
5713	2	2.63	
5714	2	2.64	
5715	2	2.63	
5716	2	2.63	
5717	2	2.63	
5718	2	2.63	
5719	2	2.63	
5720	2	2.62	
5721	2	2.62	
5722	2	2.63	
5724	2	2.64	
5725	2	2.62	
5726	2	2.62	
5727	2	2.64	
5728	2	2.64	
5729	2	2.62	
5730	2	2.64	
5731	2	2.63	
