run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
7694	166.5	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9922	0.9893	0.9917	0.8723		
7695	166.8	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9921	0.9893	0.9917	0.8723		
7697	93.8	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9949	0.9893	0.9953	0.8780		
7698	93.9	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9949	0.9893	0.9953	0.8779		
7699	456.7	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9811	0.9920	0.9772	0.8523		
7702	456.8	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9811	0.9920	0.9772	0.8523		
7703	458.4	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9810	0.9920	0.9771	0.8522		
7706	498.8	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9795	0.9955	0.9751	0.8521		
7707	498.5	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9795	0.9955	0.9751	0.8521		
7708	498.8	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9795	0.9955	0.9751	0.8521		
7709	498.7	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9795	0.9955	0.9751	0.8521		
7710	499.3	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9795	0.9955	0.9750	0.8520		
7711	175.6	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9918	0.9894	0.9912	0.8717		
7712	175.5	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9918	0.9894	0.9912	0.8717		
7713	324.0	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9894	0.9838	0.8603		
7714	323.5	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9894	0.9838	0.8603		
7715	322.7	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9894	0.9839	0.8604		
7716	485.8	8.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9977	0.9757	0.8550		
7717	484.3	8.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9977	0.9758	0.8551		
7718	483.5	8.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9977	0.9758	0.8552		
7719	483.9	8.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9977	0.9758	0.8551		
7720	486.2	8.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9977	0.9757	0.8549		
7721	492.4	9.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9797	0.9976	0.9754	0.8544		
7722	496.8	9.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9976	0.9752	0.8540		
7723	21.2	51.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9977	0.9865	0.9989	0.8812		
7724	46.4	51.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9967	0.9865	0.9977	0.8792		
7725	6.1	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9983	0.9893	0.9997	0.8848		
7727	20.6	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9977	0.9893	0.9990	0.8836		
7728	20.7	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9977	0.9893	0.9990	0.8836		
7729	70.6	51.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9958	0.9865	0.9965	0.8773		
7730	70.7	51.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9958	0.9865	0.9965	0.8773		
7733	70.0	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9958	0.9867	0.9965	0.8775		
